target_url,target_url_domain,target_url_agency_owner,target_url_bureau_owner,Analysis
bic.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
bids.state.gov,state.gov,Department of State,Bureau of Global Public Affairs (GPA),www. required or site not present at targeted address
biomassboard.gov,biomassboard.gov,Department of Energy,Office of Energy Efficiency and Renewable Energy,www. breaks
bitool.ed.gov,ed.gov,Department of Education,Office of Chief Information Officer,www. required or site not present at targeted address
blog.ninds.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,www. required or site not present at targeted address
blsconfidentialitytraining.bls.gov,bls.gov,Department of Labor,Bureau of Labor Statistics,www. required or site not present at targeted address
blsconfidentialitytrainingorigin1.bls.gov,bls.gov,Department of Labor,Bureau of Labor Statistics,www. required or site not present at targeted address
blsconfidentialitytrainingt.bls.gov,bls.gov,Department of Labor,Bureau of Labor Statistics,www. required or site not present at targeted address
bmtflightphotos.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
bnl.gov,bnl.gov,Department of Energy,Brookhaven National Laboratory,www. required
bop.gov,bop.gov,Department of Justice,Federal Bureau of Prisons,www. required
bosque.gov,bosque.gov,U.S. Department of Agriculture,USDA Forest Service - Southwestern Region,Resolve to different Final URLs depending on if www. is included or not
bptwai.fms.treas.gov,treas.gov,Department of the Treasury,Department of the Treasury - DO,www. required or site not present at targeted address
broadbandsearch.cert.sc.egov.usda.gov,usda.gov,U.S. Department of Agriculture,U.S. Department of Agriculture,www. required or site not present at targeted address
broadbandsearch.sc.egov.usda.gov,usda.gov,U.S. Department of Agriculture,U.S. Department of Agriculture,www. required or site not present at targeted address
brooklyn.jobcorps.gov,jobcorps.gov,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Site errors out
bsaefiling1.fincen.treas.gov,treas.gov,Department of the Treasury,Department of the Treasury - DO,Possible scan issue arising META redirect
bscdev.nidcd.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,www. required or site not present at targeted address
bts.gov,bts.gov,Department of Transportation,Bureau of Transportation Statistics,www. required
buckley.spaceforce.mil,spaceforce.mil,Department of Defense,Space Force,www. required
budgetlob.max.gov,max.gov,Executive Office of the President,Office of Management and Budget,Site errors out
businessdefense.gov,businessdefense.gov,Department of Defense,"Office of the Under Secretary of Defense for Acquisition, Technology and Logistics",www. required
c2f.usff.navy.mil,navy.mil,Department of Defense,Navy,www. required or site not present at targeted address
c3f.navy.mil,navy.mil,Department of Defense,Navy,www. required or site not present at targeted address
c6f.navy.mil,navy.mil,Department of Defense,Navy,www. required or site not present at targeted address
c7f.navy.mil,navy.mil,Department of Defense,Navy,www. required or site not present at targeted address
cac.mil,cac.mil,Department of Defense,,www. required
cadsr.cancer.gov,cancer.gov,Department of Health and Human Services,"National Cancer Institute, NIH",Possible scan issue arising META redirect
caia.treasury.gov,treasury.gov,Department of the Treasury,Department of the Treasury - OCIO,Site errors out
camd.epa.gov,epa.gov,Environmental Protection Agency,Environmental Protection Agency,Possible scan issue arising META redirect
cannon.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
capnhq.gov,capnhq.gov,Department of Defense,Civil Air Patrol HQ,Resolve to different Final URLs depending on if www. is included or not
caprovservice.state.gov,state.gov,Department of State,Bureau of Global Public Affairs (GPA),Site errors out
careerpath.gsfc.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Site errors out
careersa.tva.gov,tva.gov,Tennessee Valley Authority,TVA IT,Site errors out
caregiverfinanciallegal.va.gov,va.gov,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",www. required or site not present at targeted address
carldperkins.jobcorps.gov,jobcorps.gov,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Site errors out
casl.gov,casl.gov,Department of Energy,Oak Ridge National Laboratory,www. breaks
cass.jobcorps.gov,jobcorps.gov,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Site errors out
catalog.usmint.gov,usmint.gov,Department of the Treasury,Department of the Treasury - U.S. Mint,Site errors out
cbb.census.gov,census.gov,Department of Commerce,Census Bureau,Possible scan issue arising META redirect
cbca.gov,cbca.gov,General Services Administration,Civilian Board of Contract Appeals,Resolve to different Final URLs depending on if www. is included or not
cbirf.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
cbiuserapi.nhtsa.dot.gov,dot.gov,Department of Transportation,Department of Transportation,Site errors out
cbmp.nichd.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,www. required or site not present at targeted address
cbrfc.noaa.gov,noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,www. required or site not present at targeted address
ccad.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
ccdor.research.va.gov,va.gov,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",www. required
ccsg15.navy.mil,navy.mil,Department of Defense,Navy,www. required or site not present at targeted address
cd.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
cdi.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
cdlisws.cdlis.dot.gov,dot.gov,Department of Transportation,Department of Transportation,www. required or site not present at targeted address
cdo.gov,cdo.gov,General Services Administration,General Services Administration,www. breaks
cdscc.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www. required or site not present at targeted address
cendi.gov,cendi.gov,Department of Energy,OSTI,www. breaks
centcom.mil,centcom.mil,Department of Defense,,www. required
cert.eauth.usda.gov,usda.gov,U.S. Department of Agriculture,U.S. Department of Agriculture,www. required or site not present at targeted address
cf.gsfc.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www. required or site not present at targeted address
cgru.usda.gov,usda.gov,U.S. Department of Agriculture,U.S. Department of Agriculture,Possible scan issue arising META redirect
challenge.gov,challenge.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",www. required
charleston.jobcorps.gov,jobcorps.gov,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Site errors out
cherrypoint.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
childcare.gov,childcare.gov,Department of Health and Human Services,Administration for Children and Families,www. breaks
circinteractome.nia.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,www. required or site not present at targeted address
ciss.cdan.dot.gov,dot.gov,Department of Transportation,Department of Transportation,Site errors out
citdcbmipav.cit.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,www. required or site not present at targeted address
citrus.pw.usda.gov,usda.gov,U.S. Department of Agriculture,U.S. Department of Agriculture,www. required or site not present at targeted address
cjis.gov,cjis.gov,Department of Justice,Federal Bureau of Investigation,www. required
clearfield.jobcorps.gov,jobcorps.gov,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Site errors out
clinicaltrials.gov,clinicaltrials.gov,Department of Health and Human Services,"National Library of Medicine, NIH",Resolve to different Final URLs depending on if www. is included or not
cloud.gov,cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",Resolve to different Final URLs depending on if www. is included or not
cloud.mil,cloud.mil,Department of Defense,,www. required
cloudfront.sba.gov,sba.gov,Small Business Administration,Small Business Administration,www. required or site not present at targeted address
clubs.larc.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www. required or site not present at targeted address
clwp.navy.mil,navy.mil,Department of Defense,Navy,www. required or site not present at targeted address
cma.ahrq.gov,ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,www. required or site not present at targeted address
cmc.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
cmerwebmap.cr.usgs.gov,usgs.gov,Department of the Interior,U.S. Geological Survey,Site not present
cms.buildamerica.dot.gov,dot.gov,Department of Transportation,Department of Transportation,www. required or site not present at targeted address
cms8.fhwa.dot.gov,dot.gov,Department of Transportation,Department of Transportation,www. required or site not present at targeted address
cnmoc.usff.navy.mil,navy.mil,Department of Defense,Navy,www. required or site not present at targeted address
cnrc.navy.mil,navy.mil,Department of Defense,Navy,www. required or site not present at targeted address
cnrfc.noaa.gov,noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,www. required or site not present at targeted address
collaborationcqauth1.fda.gov,fda.gov,Department of Health and Human Services,U. S. Food and Drug Administration,Site errors out
collegedrinkingprevention.gov,collegedrinkingprevention.gov,Department of Health and Human Services,"National Institute on Alcohol Abuse and Alcoholism, NIH",Resolve to different Final URLs depending on if www. is included or not
columbiabasin.jobcorps.gov,jobcorps.gov,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Site errors out
columbus.af.mil,af.mil,Department of Defense,Air Force,www. required
communicationstrackingradar.jpl.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www. required or site not present at targeted address
community.lincs.ed.gov,ed.gov,Department of Education,Office of Chief Information Officer,Site errors out
compliance-viewer.18f.gov,18f.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",www. required or site not present at targeted address
compliance.af.mil,af.mil,Department of Defense,Air Force,www. required
compservices.tva.gov,tva.gov,Tennessee Valley Authority,TVA IT,www. required or site not present at targeted address
computersforlearning.gov,computersforlearning.gov,General Services Administration,"GSA, FAS, ClearPath",www. breaks
connect.tva.gov,tva.gov,Tennessee Valley Authority,TVA IT,Site errors out
connection.tva.gov,tva.gov,Tennessee Valley Authority,TVA IT,Site errors out
conservation.gov,conservation.gov,Department of the Interior,U.S. Geological Survey,www. breaks
consumercomplaints.fcc.gov,fcc.gov,Federal Communications Commission,Federal Communications Commission,Site errors out
consumersentinel.gov,consumersentinel.gov,Federal Trade Commission,Division of Consumer Response & Operations (DCRO),Resolve to different Final URLs depending on if www. is included or not
contractdirectory.gov,contractdirectory.gov,General Services Administration,"GSA, FAS, FPDS",Resolve to different Final URLs depending on if www. is included or not
coop.vpn.cttso.gov,cttso.gov,Department of Defense,Irregular Warfare Technical Support Directorate,www. required or site not present at targeted address
cops.fas.gsa.gov,gsa.gov,General Services Administration,"GSA, IDI, ECAS II",www. required or site not present at targeted address
cora.usdoj.gov,usdoj.gov,Department of Justice,Office of the Chief Information Officer,www. required or site not present at targeted address
coral.jpl.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Site errors out
coralreef.gov,coralreef.gov,Department of the Interior,U.S. Geological Survey,Resolve to different Final URLs depending on if www. is included or not
corporateservices.noaa.gov,noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,Possible scan issue arising META redirect
corpuschristi.tricare.mil,tricare.mil,Department of Defense,,Site errors out
correlogo.ncifcrf.gov,ncifcrf.gov,Department of Health and Human Services,"Enterprise Information Technology, NIH",www. required or site not present at targeted address
covid19treatmentguidelines.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,www. required or site not present at targeted address
cowboys.app.cloud.gov,cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",Site errors out
cpars.gov,cpars.gov,General Services Administration,"GSA, FAS, System for Award Management",Resolve to different Final URLs depending on if www. is included or not
cpc.omao.noaa.gov,noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,www. required or site not present at targeted address
cpf.navy.mil,navy.mil,Department of Defense,Navy,www. required or site not present at targeted address
cprw1.navy.mil,navy.mil,Department of Defense,Navy,www. required
cpsearch.fas.gsa.gov,gsa.gov,General Services Administration,"GSA, IDI, ECAS II",www. required or site not present at targeted address
cra-d.fdic.gov,fdic.gov,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,Site errors out
cra-q.fdic.gov,fdic.gov,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,Site errors out
cra-s.fdic.gov,fdic.gov,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,Site errors out
cra.cdc.gov,cdc.gov,Department of Health and Human Services,Centers for Disease Control and Prevention,www. required or site not present at targeted address
creech.af.mil,af.mil,Department of Defense,Air Force,www. required
crfs.cr.usgs.gov,usgs.gov,Department of the Interior,U.S. Geological Survey,www. required or site not present at targeted address
crtpfm1.ncifcrf.gov,ncifcrf.gov,Department of Health and Human Services,"Enterprise Information Technology, NIH",www. required or site not present at targeted address
crtpfm2.ncifcrf.gov,ncifcrf.gov,Department of Health and Human Services,"Enterprise Information Technology, NIH",www. required or site not present at targeted address
cryosparc.cancer.gov,cancer.gov,Department of Health and Human Services,"National Cancer Institute, NIH",www. required or site not present at targeted address
csat.dhs.gov,dhs.gov,Department of Homeland Security,Headquarters,www. required or site not present at targeted address
csg4.usff.navy.mil,navy.mil,Department of Defense,Navy,www. required or site not present at targeted address
csi-rt.cbp.dhs.gov,dhs.gov,Department of Homeland Security,Headquarters,Possible scan issue arising META redirect
csp.navy.mil,navy.mil,Department of Defense,Navy,www. required or site not present at targeted address
ctd2-dashboard.nci.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,www. required or site not present at targeted address
ctpat.cbp.dhs.gov,dhs.gov,Department of Homeland Security,Headquarters,www. required or site not present at targeted address
cumulis.epa.gov,epa.gov,Environmental Protection Agency,Environmental Protection Agency,Site errors out
cusnc.navy.mil,navy.mil,Department of Defense,Navy,Site errors out
cwns.epa.gov,epa.gov,Environmental Protection Agency,Environmental Protection Agency,Site errors out
cybercom.mil,cybercom.mil,Department of Defense,,www. required
cyberspacecapabilitiescenter.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
d9.qa.jimmycarterlibrary.gov,jimmycarterlibrary.gov,National Archives and Records Administration,Jimmy Carter Library & Museum,www. required or site not present at targeted address
d9.qa.obamalibrary.gov,obamalibrary.gov,National Archives and Records Administration,National Archives and Records Administration,www. required or site not present at targeted address
dartool.cr.usgs.gov,usgs.gov,Department of the Interior,U.S. Geological Survey,Possible scan issue arising META redirect
dasadec.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
dasis2.samhsa.gov,samhsa.gov,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Site errors out
data.af.mil,af.mil,Department of Defense,Air Force,www. required
data.cdc.gov,cdc.gov,Department of Health and Human Services,Centers for Disease Control and Prevention,Possible scan issue arising META redirect
data.exim.gov,exim.gov,Export-Import Bank of the United States,Export-Import Bank of the United States,www. required or site not present at targeted address
data.fra.dot.gov,dot.gov,Department of Transportation,Department of Transportation,www. required or site not present at targeted address
data.usastaffing.gov,usastaffing.gov,Office of Personnel Management,OPM Human Resource Solutions,Possible scan issue arising META redirect
datascience.jpl.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Site errors out
dc3.mil,dc3.mil,Department of Defense,,www. required or site not present at targeted address
dcaa.mil,dcaa.mil,Department of Defense,,www. required
dcma.mil,dcma.mil,Department of Defense,,www. required
dcp.psc.gov,psc.gov,Department of Health and Human Services,"Program Support Center, Office of the Secretary",Possible scan issue arising META redirect
dcsa.mil,dcsa.mil,Department of Defense,,www. required
dd.pppl.gov,pppl.gov,Department of Energy,Princeton Plasma Physics Lab,www. required or site not present at targeted address
de.ng.mil,ng.mil,Department of Defense,National Guard,www. required or site not present at targeted address
deaecom.gov,deaecom.gov,Department of Justice,Drug Enforcement Administration,Resolve to different Final URLs depending on if www. is included or not
deasil.usdoj.gov,usdoj.gov,Department of Justice,Office of the Chief Information Officer,www. required or site not present at targeted address
defense.gov,defense.gov,Department of Defense,Defense Media Activity,www. required
defenseculture.mil,defenseculture.mil,Department of Defense,,www. required
defensesbirsttr.mil,defensesbirsttr.mil,Department of Defense,,www. required
denison.jobcorps.gov,jobcorps.gov,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Site errors out
detroit.jobcorps.gov,jobcorps.gov,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Site errors out
devnew2.globe.gov,globe.gov,National Aeronautics and Space Administration,NASA Science Data Systems Branch,Site errors out
devtestdomain.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,Site errors out
devtestdomain2.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,Site errors out
devtestdomain3.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,Site errors out
dfafacts.gov,dfafacts.gov,U.S. Agency for International Development,Office of the Director of U.S. Foreign Assistance,Resolve to different Final URLs depending on if www. is included or not
dfas.mil,dfas.mil,Department of Defense,,www. required
dha.usajobs.gov,usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,Site errors out
dhra.mil,dhra.mil,Department of Defense,,www. required
dhsadvantage.gsa.gov,gsa.gov,General Services Administration,"GSA, IDI, ECAS II",Possible scan issue arising META redirect
dia.mil,dia.mil,Department of Defense,,www. required
digitaldashboard.gov,digitaldashboard.gov,General Services Administration,"GSA, IC, OGP Web Portfolio",Resolve to different Final URLs depending on if www. is included or not
dimoc.mil,dimoc.mil,Department of Defense,,www. required
dinfos.dma.mil,dma.mil,Department of Defense,,www. required or site not present at targeted address
directives.nrcs.usda.gov,usda.gov,U.S. Department of Agriculture,U.S. Department of Agriculture,Site errors out
directoasucuenta.gov,directoasucuenta.gov,Department of the Treasury,Department of the Treasury - FMS,Resolve to different Final URLs depending on if www. is included or not
dis.ors.od.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,Possible scan issue arising META redirect
disasterassistance.gov,disasterassistance.gov,Department of Homeland Security,Federal Emergency Management Agency,www. required
dla.mil,dla.mil,Department of Defense,,www. required
dm.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
dma.mil,dma.mil,Department of Defense,,www. required
dobbins.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required
doc.ssologin1.fms.treas.gov,treas.gov,Department of the Treasury,Department of the Treasury - DO,www. required or site not present at targeted address
docs.ahrq.gov,ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,www. required or site not present at targeted address
docwebta.eas.commerce.gov,commerce.gov,Department of Commerce,Department of Commerce,www. required or site not present at targeted address
dod-dcpas.usajobs.gov,usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,Site errors out
dod.usajobs.gov,usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,Site errors out
dodcui.mil,dodcui.mil,Department of Defense,,www. required
dodig.mil,dodig.mil,Department of Defense,,www. required
dodmantech.mil,dodmantech.mil,Department of Defense,,www. required or site not present at targeted address
don-norfolkshipyard.usajobs.gov,usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,Site errors out
dotcms.fra.dot.gov,dot.gov,Department of Transportation,Department of Transportation,www. required or site not present at targeted address
dote.osd.mil,osd.mil,Department of Defense,Army,www. required or site not present at targeted address
dover.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
dpaa.mil,dpaa.mil,Department of Defense,,www. required
dra.gov,dra.gov,Delta Regional Authority,Delta Regional Authority,www. breaks
drive.hhs.gov,hhs.gov,Department of Health and Human Services,Office of the Secretary,www. required or site not present at targeted address
drumcorps.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required or site not present at targeted address
drupal-prod.ntp.niehs.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,www. required or site not present at targeted address
dseis.od.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,Site errors out
dsp.dla.mil,dla.mil,Department of Defense,,www. required or site not present at targeted address
dspo.mil,dspo.mil,Department of Defense,,www. required
dtra.mil,dtra.mil,Department of Defense,,www. required
duc.nist.gov,nist.gov,Department of Commerce,National Institute of Standards and Technology,Site errors out
dyess.af.mil,af.mil,Department of Defense,Air Force,www. required
e-publishing.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
e-verify.uscis.gov,uscis.gov,Department of Homeland Security,USCIS,Site errors out
e.arsnet.usda.gov,usda.gov,U.S. Department of Agriculture,U.S. Department of Agriculture,www. required or site not present at targeted address
eads.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
earlecclements.jobcorps.gov,jobcorps.gov,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Site errors out
eauth.usda.gov,usda.gov,U.S. Department of Agriculture,U.S. Department of Agriculture,www. required or site not present at targeted address
ecb.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,Possible scan issue arising META redirect
ecc-project.sandia.gov,sandia.gov,Department of Energy,Sandia National Laboratories,www. required or site not present at targeted address
ecmps.epa.gov,epa.gov,Environmental Protection Agency,Environmental Protection Agency,Site errors out
econsumer.gov,econsumer.gov,Federal Trade Commission,Office of Internal Affairs (OIA),Resolve to different Final URLs depending on if www. is included or not
ecos-beta.fws.gov,fws.gov,Department of the Interior,U.S. Fish and Wildlife Service,Possible scan issue arising META redirect
ecos-training.fws.gov,fws.gov,Department of the Interior,U.S. Fish and Wildlife Service,Possible scan issue arising META redirect
ecos.fws.gov,fws.gov,Department of the Interior,U.S. Fish and Wildlife Service,Possible scan issue arising META redirect
edcftp.cr.usgs.gov,usgs.gov,Department of the Interior,U.S. Geological Survey,Site errors out
edgarcompany.sec.gov,sec.gov,Securities and Exchange Commission,Network Operations Branch,www. required
edison.jobcorps.gov,jobcorps.gov,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Site errors out
edrn.jpl.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Site errors out
edwards.af.mil,af.mil,Department of Defense,Air Force,www. required
efileqa.fara.gov,fara.gov,Department of Justice,"U.S. Department of Justice, National Security Division",Possible scan issue arising META redirect
eform1.ferc.gov,ferc.gov,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,www. required or site not present at targeted address
eft.feps.cms.gov,cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,www. required or site not present at targeted address
eglin.af.mil,af.mil,Department of Defense,Air Force,www. required
egov.eeoc.gov,eeoc.gov,Equal Employment Opportunity Commission,Equal Employment Opportunity Commission,Site errors out
ehp.niehs.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,Site errors out
ehrincentives.cms.gov,cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,www. required or site not present at targeted address
eielson.af.mil,af.mil,Department of Defense,Air Force,www. required
eistest.nwcg.gov,nwcg.gov,U.S. Department of Agriculture,National Wildfire Coordinating Group,www. required or site not present at targeted address
eldercare.gov,eldercare.gov,Department of Health and Human Services,Administration for Community Living,Resolve to different Final URLs depending on if www. is included or not
ellis.tva.gov,tva.gov,Tennessee Valley Authority,TVA IT,www. required or site not present at targeted address
ellsworth.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
emmseg.tva.gov,tva.gov,Tennessee Valley Authority,TVA IT,www. required or site not present at targeted address
emmsega.cflb.tva.gov,tva.gov,Tennessee Valley Authority,TVA IT,www. required or site not present at targeted address
emsl.pnnl.gov,pnnl.gov,Department of Energy,Pacific Northwest National Laboratory,www. required
entplm.hud.gov,hud.gov,Department of Housing and Urban Development,Web Master  Pulic Affair,www. required or site not present at targeted address
entptest.hud.gov,hud.gov,Department of Housing and Urban Development,Web Master  Pulic Affair,Possible scan issue arising META redirect
epa-visl.ornl.gov,ornl.gov,Department of Energy,Oak Ridge National Laboratory,Site errors out
erdc.usace.army.mil,army.mil,Department of Defense,Army,www. required or site not present at targeted address
eroc.ssologin1.fms.treas.gov,treas.gov,Department of the Treasury,Department of the Treasury - DO,www. required or site not present at targeted address
eros.usgs.gov,usgs.gov,Department of the Interior,U.S. Geological Survey,Site errors out
eshelp.opm.gov,opm.gov,Office of Personnel Management,Office Of Personnel Management,www. required or site not present at targeted address
esound.epa.gov,epa.gov,Environmental Protection Agency,Environmental Protection Agency,Possible scan issue arising META redirect
espanol.insurekidsnow.gov,insurekidsnow.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Site errors out
espd.gsfc.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Possible scan issue arising META redirect
europeafrica.army.mil,army.mil,Department of Defense,Army,www. required
evaluation.gov,evaluation.gov,General Services Administration,Office of Government-wide Policy,www. required
events-avi-lb-pz.sewp.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Site errors out
events.jsc.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,www. required or site not present at targeted address
everykidoutdoors.gov,everykidoutdoors.gov,Department of the Interior,National Park Service,Resolve to different Final URLs depending on if www. is included or not
evus.gov,evus.gov,Department of Homeland Security,U.S. Customs and Border Protection,www. required
ewtgpac.navy.mil,navy.mil,Department of Defense,Navy,www. required
exim.gov,exim.gov,Export-Import Bank of the United States,Export-Import Bank of the United States,www. breaks
expeditionarycenter.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
extapps.ksc.nasa.gov,nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,Site errors out
extidp.ornl.gov,ornl.gov,Department of Energy,Oak Ridge National Laboratory,Site errors out
faa.gov,faa.gov,Department of Transportation,Federal Aviation Administration,www. required or site not present at targeted address
faai.usajobs.gov,usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,Site errors out
faces.opm.gov,opm.gov,Office of Personnel Management,Office Of Personnel Management,Site errors out
fairchild.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
fan.gov,fan.gov,Department of State,Bureau of Information Resources Management (IRM),Resolve to different Final URLs depending on if www. is included or not
fatherhood.gov,fatherhood.gov,Department of Health and Human Services,Administration for Children and Families,www. required
fbi.gov,fbi.gov,Department of Justice,Federal Bureau of Investigation,Site errors out
fca.usajobs.gov,usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,Site errors out
fcc.navy.mil,navy.mil,Department of Defense,Navy,www. required or site not present at targeted address
fcc.usajobs.gov,usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,Site errors out
fccravpn.fcc.gov,fcc.gov,Federal Communications Commission,Federal Communications Commission,Possible scan issue arising META redirect
fdicconnect.gov,fdicconnect.gov,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,www. required
fedcenter.gov,fedcenter.gov,Environmental Protection Agency,Environmental Protection Agency,www. required
fedtool.usalearning.gov,usalearning.gov,Office of Personnel Management,OPM Center for Leadership Development,Site errors out
feedback.usa.gov,usa.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",www. required or site not present at targeted address
feedthefuture.gov,feedthefuture.gov,U.S. Agency for International Development,Bureau for Resilience and Food Security (RFS),www. breaks
fehrm.gov,fehrm.gov,Department of Defense,FEHRM,www. required
fema.gov,fema.gov,Department of Homeland Security,Federal Emergency Management Agency,www. required
ferc.gov,ferc.gov,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,Resolve to different Final URLs depending on if www. is included or not
ffsru.usda.gov,usda.gov,U.S. Department of Agriculture,U.S. Department of Agriculture,www. required or site not present at targeted address
fgdc.gov,fgdc.gov,Department of the Interior,U.S. Geological Survey,Resolve to different Final URLs depending on if www. is included or not
filermanagement.edgarfiling.sec.gov,sec.gov,Securities and Exchange Commission,Network Operations Branch,www. required or site not present at targeted address
files.covid19treatmentguidelines.nih.gov,nih.gov,Department of Health and Human Services,National Institutes of Health,www. required or site not present at targeted address
fincen.gov,fincen.gov,Department of the Treasury,Department of the Treasury - FINCEN,Resolve to different Final URLs depending on if www. is included or not
findtbresources-prod-az.cdc.gov,cdc.gov,Department of Health and Human Services,Centers for Disease Control and Prevention,Site errors out
findtreatment.gov,findtreatment.gov,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Resolve to different Final URLs depending on if www. is included or not
firecode.gov,firecode.gov,Department of the Interior,Bureau of Land Management,www. required
firefox.sandia.gov,sandia.gov,Department of Energy,Sandia National Laboratories,www. required or site not present at targeted address
fireleadership.gov,fireleadership.gov,Department of the Interior,Department of the Interior,Resolve to different Final URLs depending on if www. is included or not
firenet.gov,firenet.gov,Department of the Interior,National Wildfire Coordinating Group,www. required
