final_url,final_url_domain,final_url_website,target_url_agency_owner,target_url_bureau_owner,scan_date,dap_detected_final_url
https://api.ncpc.gov/,ncpc.gov,api.ncpc.gov,National Capital Planning Commission,National Capital Planning Commission,2023-06-10T01:56:33.701Z,FALSE
https://api.nhtsa.gov/,nhtsa.gov,api.nhtsa.gov,Department of Transportation,National Highway Traffic Safety Administration,2023-06-10T02:10:44.519Z,FALSE
https://api.ojp.gov/,ojp.gov,api.ojp.gov,Department of Justice,"U.S. Department of Justice, Office of Justice Prograns (OJP)",2023-06-10T03:30:02.845Z,FALSE
https://api.open.fec.gov/developers/,fec.gov,api.open.fec.gov,Federal Election Commission,Federal Election Commission,2023-06-10T01:15:43.319Z,TRUE
https://api.sam.gov/,sam.gov,api.sam.gov,General Services Administration,"GSA, FAS, System for Award Management",2023-06-10T02:49:00.858Z,FALSE
https://api.seer.cancer.gov/,cancer.gov,api.seer.cancer.gov,Department of Health and Human Services,National Cancer Institute,2023-06-10T02:17:15.011Z,TRUE
https://api.urs.eosdis.nasa.gov/,nasa.gov,api.urs.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:54:41.568Z,FALSE
https://api.usaspending.gov/,usaspending.gov,api.usaspending.gov,Department of the Treasury,"General Services Administration, Office of Citizen Services",2023-06-10T03:08:59.384Z,FALSE
https://api.va.gov/,va.gov,api.va.gov,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",2023-06-10T03:19:22.570Z,FALSE
https://api.weather.gov/,weather.gov,api.weather.gov,Department of Commerce,National Oceanic and Atmospheric Administration,2023-06-10T03:24:07.154Z,FALSE
https://api2.foia.gov/,foia.gov,api2.foia.gov,Department of Justice,"Department of Justice, Office of e-Government",2023-06-10T01:17:38.557Z,FALSE
https://apigw.cdc.gov/,cdc.gov,apigw.cdc.gov,Department of Health and Human Services,Centers For Disease Control and Prevention,2023-06-10T00:48:35.923Z,FALSE
https://apisstaging.niaaa.nih.gov/,nih.gov,apisstaging.niaaa.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T03:57:55.780Z,TRUE
https://apistaging.globe.gov/search/swagger-ui.html,globe.gov,apistaging.globe.gov,National Aeronautics and Space Administration,NASA Science Data Systems Branch,2023-06-10T03:39:03.857Z,TRUE
https://apod.nasa.gov/apod/astropix.html,nasa.gov,apod.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T03:58:34.181Z,TRUE
https://apology.pnl.gov/,pnl.gov,apology.pnl.gov,Department of Energy,Pacific Northwest National Laboratory,2023-06-10T02:45:36.882Z,FALSE
https://app-template.jgi.doe.gov/wp-login.php?redirect_to=/,doe.gov,app-template.jgi.doe.gov,Department of Energy,"US Department of Energy, Office of the CIO",2023-06-10T00:58:58.349Z,FALSE
https://app.ncpc.gov/,ncpc.gov,app.ncpc.gov,National Capital Planning Commission,National Capital Planning Commission,2023-06-10T02:28:17.298Z,FALSE
https://app.ntsb.gov/,ntsb.gov,app.ntsb.gov,National Transportation Safety Board,National Transportation Safety Board,2023-06-10T02:37:03.314Z,FALSE
https://app1.innovation.cms.gov/s/,cms.gov,app1.innovation.cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,2023-06-10T00:51:49.428Z,FALSE
https://appeears.earthdatacloud.nasa.gov/,nasa.gov,appeears.earthdatacloud.nasa.gov,Department of the Interior,U.S. Geological Survey,2023-06-10T02:01:32.112Z,FALSE
https://appel.nasa.gov/,nasa.gov,appel.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:55:54.137Z,TRUE
https://appian-dsc.fda.gov/suite/,fda.gov,appian-dsc.fda.gov,Department of Health and Human Services,U. S. Food and Drug Administration,2023-06-10T01:14:15.247Z,FALSE
https://appian-preprod-dsc.fda.gov/suite/,fda.gov,appian-preprod-dsc.fda.gov,Department of Health and Human Services,U. S. Food and Drug Administration,2023-06-10T01:15:18.216Z,FALSE
https://applicantportal.arts.gov/Account/Login?ReturnUrl=%2F,arts.gov,applicantportal.arts.gov,National Endowment for the Arts,Office of Information and Technology Management,2023-06-10T00:44:24.699Z,FALSE
https://applications.cpfp.cancer.gov/login.php,cancer.gov,applications.cpfp.cancer.gov,Department of Health and Human Services,National Cancer Institute,2023-06-10T02:18:03.427Z,TRUE
https://appliedenergyscience.lbl.gov/,lbl.gov,appliedenergyscience.lbl.gov,Department of Energy,Lawrence Berkeley National Laboratory,2023-06-10T01:39:44.797Z,FALSE
https://appliedsciences.nasa.gov/,nasa.gov,appliedsciences.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:55:53.208Z,TRUE
https://apply.fbijobs.gov/,fbijobs.gov,apply.fbijobs.gov,Department of Justice,Federal Bureau of Investigation,2023-06-10T01:13:51.671Z,FALSE
https://apply.pmf.gov/,pmf.gov,apply.pmf.gov,Office of Personnel Management,Presidential Management Fellows,2023-06-10T02:45:20.181Z,FALSE
https://appointment.treasury.gov/,treasury.gov,appointment.treasury.gov,Department of the Treasury,Department of the Treasury - OCIO,2023-06-10T03:04:25.811Z,FALSE
https://apps-afsc.fisheries.noaa.gov/,noaa.gov,apps-afsc.fisheries.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,2023-06-10T01:41:38.569Z,FALSE
https://apps-beta.nationalmap.gov/,nationalmap.gov,apps-beta.nationalmap.gov,Department of the Interior,US Geological Survey,2023-06-10T03:58:42.779Z,TRUE
https://apps-treas.my.salesforce-sites.com/treasuryforms/,salesforce-sites.com,apps-treas.my.salesforce-sites.com,Department of the Treasury,Department of the Treasury - OCIO,2023-06-10T03:03:18.381Z,FALSE
https://apps.conservation.gov/,conservation.gov,apps.conservation.gov,Department of the Interior,U.S Geological Survey,2023-06-10T00:42:15.950Z,FALSE
https://apps.dat.noaa.gov/,noaa.gov,apps.dat.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,2023-06-10T02:01:57.326Z,FALSE
https://apps.fema.gov/,fema.gov,apps.fema.gov,Department of Homeland Security,FEMA,2023-06-10T01:16:39.886Z,FALSE
https://apps.fs.usda.gov/symbols,usda.gov,apps.fs.usda.gov,U.S. Department of Agriculture,USDA Forest Service,2023-06-10T03:01:05.926Z,TRUE
https://apps.fsa.usda.gov/,usda.gov,apps.fsa.usda.gov,U.S. Department of Agriculture,USDA,2023-06-10T03:10:22.490Z,FALSE
https://apps.huduser.gov/,huduser.gov,apps.huduser.gov,Department of Housing and Urban Development,"U.S. Department of Housing and Urban Development, Office of Policy Development and Research",2023-06-10T00:47:08.372Z,FALSE
https://apps.irs.gov/static_assets/error/403errorPage.html,irs.gov,apps.irs.gov,Department of the Treasury,Department of the Treasury - IRS,2023-06-10T01:31:33.148Z,TRUE
https://apps.lex.doe.gov/,doe.gov,apps.lex.doe.gov,Department of Energy,"US Department of Energy, Office of the CIO",2023-06-10T01:00:41.329Z,FALSE
https://apps.loanprograms.energy.gov/content/InformationalMessage.html,energy.gov,apps.loanprograms.energy.gov,Department of Energy,"US Department of Energy, Office of the CIO",2023-06-10T02:27:11.286Z,FALSE
https://apps.nasa.gov/,nasa.gov,apps.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:54:11.769Z,FALSE
https://apps.nationalmap.gov/,nationalmap.gov,apps.nationalmap.gov,Department of the Interior,US Geological Survey,2023-06-10T02:01:47.302Z,TRUE
https://apps.nmfs.noaa.gov/,noaa.gov,apps.nmfs.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,2023-06-10T01:40:00.590Z,FALSE
https://apps.nsa.gov/,nsa.gov,apps.nsa.gov,Department of Defense,NSA,2023-06-10T02:36:43.506Z,FALSE
https://apps.nssl.noaa.gov/,noaa.gov,apps.nssl.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,2023-06-10T04:00:18.197Z,TRUE
https://apps.orau.gov/,orau.gov,apps.orau.gov,Department of Energy,ORAU,2023-06-10T02:39:13.899Z,FALSE
https://apps.tucson.ars.ag.gov/,ag.gov,apps.tucson.ars.ag.gov,U.S. Department of Agriculture,USDA,2023-06-10T00:27:46.473Z,FALSE
https://apps.usfa.fema.gov/,fema.gov,apps.usfa.fema.gov,Department of Homeland Security,FEMA,2023-06-10T01:15:36.726Z,FALSE
https://apps.usgs.gov/,usgs.gov,apps.usgs.gov,Department of the Interior,U.S. Geological Survey,2023-06-10T03:07:37.994Z,TRUE
https://apps2.eere.energy.gov/,energy.gov,apps2.eere.energy.gov,Department of Energy,"US Department of Energy, Office of the CIO",2023-06-10T01:08:16.842Z,FALSE
https://apps2.fcc.gov/,fcc.gov,apps2.fcc.gov,Federal Communications Commission,Federal Communications Commission,2023-06-10T01:11:57.496Z,FALSE
https://appstaging.orau.gov/,orau.gov,appstaging.orau.gov,Department of Energy,ORAU,2023-06-10T02:39:35.175Z,FALSE
https://appvol.ninds.nih.gov/,nih.gov,appvol.ninds.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:12:41.753Z,FALSE
https://aps.anl.gov/,anl.gov,aps.anl.gov,Department of Energy,Argonne National Laboratory,2023-06-10T00:28:14.849Z,FALSE
https://aps.portal.cms.gov/portal/,cms.gov,aps.portal.cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,2023-06-10T00:53:17.413Z,TRUE
https://apssit.portalval.cms.gov/portal/,cms.gov,apssit.portalval.cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,2023-06-10T00:53:46.279Z,FALSE
https://apsvpt.portalval.cms.gov/portal/,cms.gov,apsvpt.portalval.cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,2023-06-10T00:54:19.253Z,FALSE
https://aptcenter.research.va.gov/,va.gov,aptcenter.research.va.gov,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",2023-06-10T03:20:10.837Z,TRUE
https://aqs.epa.gov/,epa.gov,aqs.epa.gov,Environmental Protection Agency,Environmental Protection Agency,2023-06-10T01:09:55.533Z,FALSE
https://aqua.gsfc.nasa.gov/,nasa.gov,aqua.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:53:47.319Z,TRUE
https://aqua.nasa.gov/,nasa.gov,aqua.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T03:27:50.977Z,TRUE
https://aram-pilot.pnnl.gov/,pnnl.gov,aram-pilot.pnnl.gov,Department of Energy,Pacific Northwest National Laboratory,2023-06-10T02:46:46.645Z,FALSE
https://arc.fiscal.treasury.gov/,treasury.gov,arc.fiscal.treasury.gov,Department of the Treasury,Department of the Treasury - OCIO,2023-06-10T02:47:56.263Z,TRUE
https://archive-dtd.ncbi.nlm.nih.gov/,nih.gov,archive-dtd.ncbi.nlm.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:41:04.975Z,FALSE
https://archive.ada.gov/,ada.gov,archive.ada.gov,Department of Justice,Civil Rights Division,2023-06-10T03:34:05.053Z,TRUE
https://archive.ahrq.gov/,ahrq.gov,archive.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,2023-06-10T00:27:02.461Z,FALSE
https://archive.epa.gov/,epa.gov,archive.epa.gov,Environmental Protection Agency,Environmental Protection Agency,2023-06-10T01:06:06.573Z,TRUE
https://archive.fisheries.noaa.gov/,noaa.gov,archive.fisheries.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,2023-06-10T01:39:38.496Z,FALSE
https://archive.irsvideos.gov/,irsvideos.gov,archive.irsvideos.gov,Department of the Treasury,Department of the Treasury - IRS,2023-06-10T01:32:03.261Z,FALSE
https://archive.niams.nih.gov/,nih.gov,archive.niams.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:13:39.183Z,FALSE
https://archive.usgs.gov/,usgs.gov,archive.usgs.gov,Department of the Interior,U.S. Geological Survey,2023-06-10T03:13:17.908Z,TRUE
https://archive.whitehouseconferenceonaging.gov/home/index.html,whitehouseconferenceonaging.gov,archive.whitehouseconferenceonaging.gov,Department of Health and Human Services,Administration for Community Living,2023-06-10T03:26:57.719Z,FALSE
https://archivedtd.ncbi.nlm.nih.gov/,nih.gov,archivedtd.ncbi.nlm.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:13:46.149Z,FALSE
https://archives.hud.gov/,hud.gov,archives.hud.gov,Department of Housing and Urban Development,Web Master  Pulic Affair,2023-06-10T01:31:02.232Z,FALSE
https://archives.huduser.gov/,huduser.gov,archives.huduser.gov,Department of Housing and Urban Development,"U.S. Department of Housing and Urban Development, Office of Policy Development and Research",2023-06-10T00:45:04.165Z,TRUE
https://archives.nida.nih.gov/,nih.gov,archives.nida.nih.gov,Department of Health and Human Services,"National Institute on Drug Abuse, NIH",2023-06-10T01:05:49.980Z,FALSE
https://archives.nih.gov/,nih.gov,archives.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:06:02.050Z,TRUE
https://arcis.archives.gov/arcis/start.swe?SWECmd=Start&SWEHo=arcis.archives.gov,archives.gov,arcis.archives.gov,National Archives and Records Administration,National Archives and Records Administration,2023-06-10T00:41:13.525Z,FALSE
https://arcnet.arc.gov/,arc.gov,arcnet.arc.gov,Appalachian Regional Commission,ARC,2023-06-10T00:39:49.713Z,FALSE
https://arcr.niaaa.nih.gov/,nih.gov,arcr.niaaa.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:05:02.492Z,TRUE
https://arcsos.arc.nasa.gov/,nasa.gov,arcsos.arc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:41:06.358Z,TRUE
https://arctic-colors.gsfc.nasa.gov/,nasa.gov,arctic-colors.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:55:07.582Z,TRUE
https://arctic.noaa.gov/,noaa.gov,arctic.noaa.gov,Department of Commerce,National Oceanic and Atmospheric Administration,2023-06-10T02:02:04.624Z,FALSE
https://arcvpn.nasa.gov/CACHE/sdesktop/install/start.htm,nasa.gov,arcvpn.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T03:25:55.954Z,FALSE
https://ardf.wr.usgs.gov/,usgs.gov,ardf.wr.usgs.gov,Department of the Interior,U.S. Geological Survey,2023-06-10T03:06:46.408Z,TRUE
https://area051.wawg.cap.gov/,cap.gov,area051.wawg.cap.gov,Department of Defense,"CIVIL AIR PATROL, USAF AUX.",2023-06-10T00:45:44.627Z,FALSE
https://arecibo.jobcorps.gov/,jobcorps.gov,arecibo.jobcorps.gov,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,2023-06-10T01:32:22.447Z,FALSE
https://ares.jsc.nasa.gov/,nasa.gov,ares.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T03:25:12.714Z,TRUE
https://argo.jpl.nasa.gov/,nasa.gov,argo.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:54:32.744Z,FALSE
https://aria-share.jpl.nasa.gov/,nasa.gov,aria-share.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:53:44.868Z,FALSE
https://aria.jpl.nasa.gov/,nasa.gov,aria.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:55:04.655Z,FALSE
https://arinvestments.cdc.gov/,cdc.gov,arinvestments.cdc.gov,Department of Health and Human Services,Centers For Disease Control and Prevention,2023-06-10T00:50:30.462Z,TRUE
https://arinvestmentsdev.cdc.gov/,cdc.gov,arinvestmentsdev.cdc.gov,Department of Health and Human Services,Centers For Disease Control and Prevention,2023-06-10T03:35:07.420Z,TRUE
https://arinvestmentstst.cdc.gov/,cdc.gov,arinvestmentstst.cdc.gov,Department of Health and Human Services,Centers For Disease Control and Prevention,2023-06-10T02:24:38.099Z,TRUE
https://arisapp.ars.usda.gov/,usda.gov,arisapp.ars.usda.gov,U.S. Department of Agriculture,USDA,2023-06-10T03:09:50.242Z,FALSE
https://arkinlab.bio/,arkinlab.bio,arkinlab.bio,Department of Energy,Lawrence Berkeley National Laboratory,2023-06-10T03:24:25.173Z,FALSE
https://arlingtonflyin.wawg.cap.gov/,cap.gov,arlingtonflyin.wawg.cap.gov,Department of Defense,"CIVIL AIR PATROL, USAF AUX.",2023-06-10T03:35:00.484Z,FALSE
https://arm.fas.gsa.gov/WebARM/,gsa.gov,arm.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",2023-06-10T01:19:57.166Z,TRUE
https://arm.gov/,arm.gov,arm.gov,Department of Energy,Battelle Pacific Northwest National Laboratory,2023-06-10T00:41:46.348Z,FALSE
https://arm.grantsolutions.gov/arm/,grantsolutions.gov,arm.grantsolutions.gov,Department of Health and Human Services,Administration for Children and Families,2023-06-10T01:22:25.898Z,FALSE
https://armedforcessports.defense.gov/,defense.gov,armedforcessports.defense.gov,Department of Defense,Defense Media Activity,2023-06-10T03:18:06.457Z,TRUE
https://armi.usgs.gov/,usgs.gov,armi.usgs.gov,Department of the Interior,U.S. Geological Survey,2023-06-10T03:06:05.470Z,TRUE
https://armweb0-cms.ornl.gov/,ornl.gov,armweb0-cms.ornl.gov,Department of Energy,Oak Ridge National Laboratory,2023-06-10T02:39:08.983Z,FALSE
https://armws.grantsolutions.gov/ArmWebServices/,grantsolutions.gov,armws.grantsolutions.gov,Department of Health and Human Services,Administration for Children and Families,2023-06-10T01:22:44.694Z,FALSE
https://armycivilianservice.usajobs.gov/,usajobs.gov,armycivilianservice.usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,2023-06-10T02:51:59.145Z,TRUE
https://arpa-e-epic.energy.gov/Account/Login.aspx?ReturnUrl=%2fdefault.aspx,energy.gov,arpa-e-epic.energy.gov,Department of Energy,"US Department of Energy, Office of the CIO",2023-06-10T01:09:24.574Z,FALSE
https://arpa-e-foa.energy.gov/,energy.gov,arpa-e-foa.energy.gov,Department of Energy,"US Department of Energy, Office of the CIO",2023-06-10T01:09:04.579Z,FALSE
https://arpa-e.energy.gov/,energy.gov,arpa-e.energy.gov,Department of Energy,"US Department of Energy, Office of the CIO",2023-06-10T01:08:51.463Z,FALSE
https://arpa-h-careers.usajobs.gov/Search/Results?cmco=ARPA-H&a=HE38&p=1,usajobs.gov,arpa-h-careers.usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,2023-06-10T03:14:48.788Z,TRUE
https://arpa-h.gov/,arpa-h.gov,arpa-h.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T00:45:00.325Z,FALSE
https://arrows.emsl.pnnl.gov/,pnnl.gov,arrows.emsl.pnnl.gov,Department of Energy,Pacific Northwest National Laboratory,2023-06-10T02:45:29.318Z,FALSE
https://arrs.ahrq.gov/ARRS/login.jsp,ahrq.gov,arrs.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,2023-06-10T00:40:02.533Z,TRUE
https://arrstest.ahrq.gov/ARRS/login.jsp,ahrq.gov,arrstest.ahrq.gov,Department of Health and Human Services,Agency for Healthcare Research and Quality,2023-06-10T00:27:11.588Z,FALSE
https://arrtmc.er.usgs.gov/index.html,usgs.gov,arrtmc.er.usgs.gov,Department of the Interior,U.S. Geological Survey,2023-06-10T03:13:45.897Z,FALSE
https://arscareers.usajobs.gov/Search/Results?a=AG03&p=1,usajobs.gov,arscareers.usajobs.gov,Office of Personnel Management,OPM Human Resource Solutions,2023-06-10T03:15:09.263Z,TRUE
https://art.csr.nih.gov/ART/,nih.gov,art.csr.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:13:03.993Z,FALSE
https://art.state.gov/,state.gov,art.state.gov,Department of State,Bureau of Global Public Affairs (GPA),2023-06-10T02:58:42.487Z,FALSE
https://artcontest.larc.nasa.gov/,nasa.gov,artcontest.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:54:47.394Z,TRUE
https://artcrimes.fbi.gov/,fbi.gov,artcrimes.fbi.gov,Department of Justice,FBI,2023-06-10T03:37:12.139Z,TRUE
https://artemis.wr.usgs.gov/,usgs.gov,artemis.wr.usgs.gov,Department of the Interior,U.S. Geological Survey,2023-06-10T03:13:36.073Z,FALSE
https://arthurhou.pps.eosdis.nasa.gov/,nasa.gov,arthurhou.pps.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:43:39.163Z,TRUE
https://artifacts.nasa.gov/,nasa.gov,artifacts.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:54:13.725Z,FALSE
https://artreporting.cdc.gov/Default.aspx,cdc.gov,artreporting.cdc.gov,Department of Health and Human Services,Centers For Disease Control and Prevention,2023-06-10T00:49:20.164Z,FALSE
https://arts.ed.gov/,ed.gov,arts.ed.gov,Department of Education,Office of Chief Information Officer,2023-06-10T01:06:50.855Z,FALSE
https://artsci.inl.gov/SitePages/Home.aspx,inl.gov,artsci.inl.gov,Department of Energy,Idaho National Laboratory,2023-06-10T01:31:56.297Z,FALSE
https://aruww.ecfr.gov/,ecfr.gov,aruww.ecfr.gov,Government Publishing Office,US Government Publishing Office,2023-06-10T00:42:24.965Z,TRUE
https://arwg.cap.gov/,cap.gov,arwg.cap.gov,Department of Defense,"CIVIL AIR PATROL, USAF AUX.",2023-06-10T00:46:01.134Z,FALSE
https://as234snlntz.sandia.gov/,sandia.gov,as234snlntz.sandia.gov,Department of Energy,Sandia National Laboratories,2023-06-10T02:51:41.707Z,FALSE
https://asa1-evpneast.usda.gov/CACHE/sdesktop/install/start.htm,usda.gov,asa1-evpneast.usda.gov,U.S. Department of Agriculture,USDA,2023-06-10T03:10:57.835Z,FALSE
https://asa1-evpnwest.usda.gov/CACHE/sdesktop/install/start.htm,usda.gov,asa1-evpnwest.usda.gov,U.S. Department of Agriculture,USDA,2023-06-10T03:09:00.164Z,FALSE
https://asa2-evpneast.usda.gov/CACHE/sdesktop/install/start.htm,usda.gov,asa2-evpneast.usda.gov,U.S. Department of Agriculture,USDA,2023-06-10T03:08:52.894Z,FALSE
https://asa2-evpnwest.usda.gov/CACHE/sdesktop/install/start.htm,usda.gov,asa2-evpnwest.usda.gov,U.S. Department of Agriculture,USDA,2023-06-10T03:09:29.001Z,FALSE
https://asa24.nci.nih.gov/,nih.gov,asa24.nci.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T03:28:49.600Z,FALSE
https://asa3-evpneast.usda.gov/CACHE/sdesktop/install/start.htm,usda.gov,asa3-evpneast.usda.gov,U.S. Department of Agriculture,USDA,2023-06-10T03:10:47.063Z,FALSE
https://asa3-evpnwest.usda.gov/CACHE/sdesktop/install/start.htm,usda.gov,asa3-evpnwest.usda.gov,U.S. Department of Agriculture,USDA,2023-06-10T03:11:00.195Z,FALSE
https://asapdata.arc.nasa.gov/,nasa.gov,asapdata.arc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:40:54.742Z,TRUE
https://asc.gov/?state_id=35&state=KS,asc.gov,asc.gov,Appraisal Subcommittee,Appraisal Subcommittee,2023-06-10T00:42:12.395Z,TRUE
https://ascend-dm.ctss.nih.gov/,nih.gov,ascend-dm.ctss.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:13:19.803Z,FALSE
https://ascr-discovery.org/,ascr-discovery.org,ascr-discovery.org,Department of Energy,"US Department of Energy, Office of the CIO",2023-06-10T01:02:03.155Z,FALSE
https://asd.gsfc.nasa.gov/,nasa.gov,asd.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:40:31.585Z,TRUE
https://asdc.larc.nasa.gov/,nasa.gov,asdc.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:55:03.172Z,FALSE
https://asense.lbl.gov/,lbl.gov,asense.lbl.gov,Department of Energy,Lawrence Berkeley National Laboratory,2023-06-10T03:37:19.416Z,FALSE
https://asett.cms.gov/ASETT_HomePage,cms.gov,asett.cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,2023-06-10T00:53:15.345Z,FALSE
https://ashcnsi.faa.gov/,faa.gov,ashcnsi.faa.gov,Department of Transportation,Federal Aviation Administration,2023-06-10T01:12:22.015Z,FALSE
https://ashsavi.faa.gov/,faa.gov,ashsavi.faa.gov,Department of Transportation,Federal Aviation Administration,2023-06-10T01:10:31.979Z,FALSE
https://asianpacificheritage.gov/,asianpacificheritage.gov,asianpacificheritage.gov,Library of Congress,Library of Congress,2023-06-10T00:43:06.167Z,FALSE
https://ask.census.gov/prweb/PRServletCustom/app/ECORRAsk2_/YACFBFye-rFIz_FoGtyvDRUGg1Uzu5Mn*/!STANDARD,census.gov,ask.census.gov,Department of Commerce,U.S. Census Bureau,2023-06-10T00:51:48.185Z,FALSE
https://ask.fdic.gov/fdicinformationandsupportcenter/s/?language=en_US,fdic.gov,ask.fdic.gov,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,2023-06-10T01:15:32.311Z,FALSE
https://ask.fmcsa.dot.gov/,dot.gov,ask.fmcsa.dot.gov,Department of Transportation,United States Department of Transportation,2023-06-10T01:18:15.620Z,TRUE
https://ask.gsa.gov/eresolveLogin,gsa.gov,ask.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",2023-06-10T01:22:12.725Z,FALSE
https://ask.va.gov/,va.gov,ask.va.gov,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",2023-06-10T03:12:18.393Z,FALSE
https://asp-archive.arc.nasa.gov/,nasa.gov,asp-archive.arc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T03:28:09.034Z,TRUE
https://aspdotnetstorefront.webshops.fas.gsa.gov/,gsa.gov,aspdotnetstorefront.webshops.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",2023-06-10T01:23:16.351Z,FALSE
https://aspdotnetstorefront.webshopt.fas.gsa.gov/,gsa.gov,aspdotnetstorefront.webshopt.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",2023-06-10T01:22:23.136Z,FALSE
https://aspe.hhs.gov/,hhs.gov,aspe.hhs.gov,Department of Health and Human Services,Office of the Secretary,2023-06-10T01:26:35.520Z,TRUE
https://aspr.gov/,aspr.gov,aspr.gov,Department of Health and Human Services,Administration for Strategic Preparedness and Response,2023-06-10T00:27:09.925Z,FALSE
https://aspr.hhs.gov/Pages/Home.aspx,hhs.gov,aspr.hhs.gov,Department of Health and Human Services,Office of the Secretary,2023-06-10T01:26:17.237Z,TRUE
https://asprportal.hhs.gov/_login/default.aspx?ReturnUrl=%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F&Source=%2F,hhs.gov,asprportal.hhs.gov,Department of Health and Human Services,Office of the Secretary,2023-06-10T01:25:32.009Z,FALSE
https://asprprofiles.hhs.gov/_login/default.aspx?ReturnUrl=%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F&Source=%2F,hhs.gov,asprprofiles.hhs.gov,Department of Health and Human Services,Office of the Secretary,2023-06-10T01:26:35.703Z,FALSE
https://asprswift.hhs.gov/_login/default.aspx?ReturnUrl=%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F&Source=%2F,hhs.gov,asprswift.hhs.gov,Department of Health and Human Services,Office of the Secretary,2023-06-10T01:26:20.759Z,FALSE
