final_url,target_url_agency_owner,target_url_bureau_owner,dap_detected_final_url
https://coralreef.gov/,Department of the Interior,USGS,TRUE
https://coralreef.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
https://coralreefwatch.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
https://cordellbank.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
https://core.atdd.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://core2.gsfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://corennsa.pnnl.gov/,Department of Energy,Pacific Northwest National Laboratory,FALSE
https://corporateapps.gsa.gov/,General Services Administration,"GSA, IDI, ECAS II",TRUE
https://corporatecuonline.ncua.gov/login,National Credit Union Administration,NCUA,FALSE
https://correlation2013.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://correlogo.ncifcrf.gov/,Department of Health and Human Services,"Enterprise Information Technology, NIH",TRUE
https://corridoreis.anl.gov/,Department of Energy,Argonne National Laboratory,FALSE
https://corrosion.ksc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://cors.ngs.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
https://cosmic.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://cosmicopia.gsfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://cosmology.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://cosmos.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://costar.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://cotuit.er.usgs.gov/,Department of the Interior,U.S. Geological Survey,TRUE
https://council.epa.gov/ords/sab/f?p=104:1::::::,Environmental Protection Agency,Environmental Protection Agency,TRUE
https://courses.america.gov/,Department of State,Bureau of Global Public Affairs (GPA),FALSE
https://courses.dhs.gov/courses,Department of Homeland Security,Headquarters,TRUE
https://courses.lincs.ed.gov/,Department of Education,Office of Chief Information Officer,TRUE
https://courtsweb.gsa.gov/,General Services Administration,"GSA, IDI, ECAS II",TRUE
https://covid-relief-data.ed.gov/,Department of Education,Office of Chief Information Officer,TRUE
https://covid.cdc.gov/covid-data-tracker/#datatracker-home,Department of Health and Human Services,Centers For Disease Control and Prevention,TRUE
https://covid19.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://covid19community.nih.gov/,Department of Health and Human Services,National Institutes of Health,FALSE
https://covid19pvi.niehs.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://covid19serohub.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://covid19travelinfo.cdc.gov/,Department of Health and Human Services,Centers For Disease Control and Prevention,FALSE
https://covidreliefdata.ed.gov/,Department of Education,Office of Chief Information Officer,TRUE
https://cowboys.app.cloud.gov/,General Services Administration,"GSA, TTS",TRUE
https://cowg.cap.gov/,Department of Defense,"CIVIL AIR PATROL, USAF AUX.",FALSE
https://cpars.cpars.gov/cpars/app/home_input.action,General Services Administration,"GSA, FAS, System for Award Management",FALSE
https://cpars.gov/,General Services Administration,"GSA, FAS, System for Award Management",TRUE
https://cpc.omao.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://cpcco.hanford.gov/,Department of Energy,Hanford Mission Integration Solutions,FALSE
https://cpd1.hud.gov/,Department of Housing and Urban Development,Web Master  Pulic Affair,FALSE
https://cpd2.hud.gov/sm/login.fcc?TYPE=33554433&REALMOID=06-d34a0369-7462-46b4-8209-fc82c9bb18fd&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-%2b74KzF2QAjHw2ddq0HD%2fMyZMZ80%2bybdxbjbgwe3cHNjxxupezVRtS9LY9iHDXIfb&TARGET=-SM-https%3a%2f%2fcpd2%2ehud%2egov%2fidis%2f,Department of Housing and Urban Development,Web Master  Pulic Affair,FALSE
https://cpex.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://cpfp.cancer.gov/,Department of Health and Human Services,National Cancer Institute,TRUE
https://cpl.gsfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://cplms.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://cpo.communities.ed.gov/,Department of Education,Office of Chief Information Officer,TRUE
https://cpo.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://cpoms.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://cpscnet.cpsc.gov/ext/remoteaccess.html,Consumer Product Safety Commission,Consumer Product Safety Commission,FALSE
https://cpsearch.fas.gsa.gov/cpsearch/search.do,General Services Administration,"GSA, IDI, ECAS II",TRUE
https://cptac3.cancer.gov/cptacdataservices/login/auth,Department of Health and Human Services,National Cancer Institute,FALSE
https://cptoolkitcatalog.peerta.acf.hhs.gov/,Department of Health and Human Services,Office of the Secretary,FALSE
https://cptr.ccr.cancer.gov/,Department of Health and Human Services,National Cancer Institute,FALSE
https://cra-d.fdic.gov/,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,TRUE
https://cra-q.fdic.gov/,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,TRUE
https://cra-s.fdic.gov/,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,TRUE
https://cra.cdc.gov/pod/,Department of Health and Human Services,Centers For Disease Control and Prevention,FALSE
https://cra.fdic.gov/,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,TRUE
https://cra.pnnl.gov/,Department of Energy,Pacific Northwest National Laboratory,FALSE
https://crapes-d.fdic.gov/,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,TRUE
https://crapes-q.fdic.gov/,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,TRUE
https://crapes.fdic.gov/,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,TRUE
https://crashstats.nhtsa.dot.gov/#!/,Department of Transportation,United States Department of Transportation,FALSE
https://crashviewer.nhtsa.dot.gov/,Department of Transportation,United States Department of Transportation,FALSE
https://crd-legacy.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://crd.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://crdc.communities.ed.gov/#program,Department of Education,Office of Chief Information Officer,TRUE
https://createdequal-stage.neh.gov/,National Endowment for the Humanities,Office of Information Resources Management,TRUE
https://createdequal.neh.gov/,National Endowment for the Humanities,Office of Information Resources Management,FALSE
https://creative.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://crf.sandia.gov/,Department of Energy,Sandia National Laboratories,FALSE
https://crfs.cr.usgs.gov/,Department of the Interior,U.S. Geological Survey,FALSE
https://crimesolutions.ojp.gov/,Department of Justice,"U.S. Department of Justice, Office of Justice Progrms (OJP)",TRUE
https://cris.nifa.usda.gov/,U.S. Department of Agriculture,USDA,FALSE
https://crisisnextdoor.trumpwhitehouse.archives.gov/,National Archives and Records Administration,National Archives and Records Administration,TRUE
https://crit.nsopw.gov/,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",FALSE
https://crm-relativity.usdoj.gov/,Department of Justice,Office of the Chief Information Officer,FALSE
https://crossfunctional.usajobs.gov/Search/Results?cwr=804&cwr=802&cwr=801&cwr=803&cwr=805&cwr=712&cwr=711&cwr=751&cwr=752&cwr=901&cwr=732&cwr=731&cwr=221&cwr=211&s=relevance&sd=asc&p=1,Office of Personnel Management,OPM Human Resource Solutions,TRUE
https://crowd.mobilehealth.va.gov/,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",FALSE
https://crownations.nsopw.gov/,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",FALSE
https://crt-portal-django-prod.app.cloud.gov/,General Services Administration,"GSA, TTS",TRUE
https://crt-portal-django-stage.app.cloud.gov/,General Services Administration,"GSA, TTS",TRUE
https://crtpfm1.ncifcrf.gov/,Department of Health and Human Services,"Enterprise Information Technology, NIH",FALSE
https://crtpfm2.ncifcrf.gov/,Department of Health and Human Services,"Enterprise Information Technology, NIH",FALSE
https://cru.dpcpsi.nih.gov/Account/Login,Department of Health and Human Services,National Institutes of Health,FALSE
https://cru.niehs.nih.gov/redcap/,Department of Health and Human Services,National Institutes of Health,FALSE
https://crucible.grantsolutions.gov/,Department of Health and Human Services,Administration for Children and Families,FALSE
https://cryo.gsfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://cryosparc.cancer.gov/SignIn?ReturnUrl=%2fHome,Department of Health and Human Services,National Cancer Institute,TRUE
https://cryptocard-green-f5.lanl.gov/,Department of Energy,Los Alamos National Laboratory,FALSE
https://cryptocard.lanl.gov/,Department of Energy,Los Alamos National Laboratory,FALSE
https://cs.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://csa.fmcsa.dot.gov/,Department of Transportation,United States Department of Transportation,TRUE
https://csam.pnnl.gov/,Department of Energy,Pacific Northwest National Laboratory,FALSE
https://csams.cdc.gov/,Department of Health and Human Services,Centers For Disease Control and Prevention,FALSE
https://csaob.larc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://csat-dev.ornl.gov/dana-na/auth/url_egqiusLot7kXJDBx/welcome.cgi,Department of Energy,Oak Ridge National Laboratory,FALSE
https://csat-help.dhs.gov/apex/f?p=100:1::::::,Department of Homeland Security,Headquarters,TRUE
https://csat-registration.dhs.gov/apex/f?p=2200:1::::::,Department of Homeland Security,Headquarters,TRUE
https://csat.bjs.ojp.gov/,Department of Justice,"U.S. Department of Justice, Office of Justice Prograns (OJP)",TRUE
https://csat.dhs.gov/dana-na/auth/url_39/welcome.cgi,Department of Homeland Security,Headquarters,FALSE
https://cscsurvey.ios.doi.gov/,Department of the Interior,Office of the Chief Information Officer,FALSE
https://cscvpn.camsic.commerce.gov/+CSCOE+/logon.html?fcadbadd=1#form_title_text,Department of Commerce,Depatment of Commerce,FALSE
https://csdap.earthdata.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://csepptraining.gss.anl.gov/,Department of Energy,Argonne National Laboratory,FALSE
https://cshiip.research.va.gov/,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",TRUE
https://csi-rt2.cbp.dhs.gov/csi-rt/csi-rt/login,Department of Homeland Security,Headquarters,FALSE
https://csm.state.gov/,Department of State,Bureau of Global Public Affairs (GPA),FALSE
https://cso.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://cso.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://csosa-vpn.csosa.gov/global-protect/login.esp,Court Services and Offender Supervision,Court Services and Offender Supervision Agency/Office of information Technology,FALSE
https://csosmember.nhlbi.nih.gov/Login.aspx?ReturnUrl=%2f,Department of Health and Human Services,National Institutes of Health,TRUE
https://csp.fhfa.gov/public.htm,Federal Housing Finance Agency,Federal Housing Finance Agency,FALSE
https://csr.lanl.gov/,Department of Energy,Los Alamos National Laboratory,FALSE
https://csrc.blm.gov/,Department of the Interior,Bureau of Land Management - Main Domain,FALSE
https://csrc.nist.gov/,Department of Commerce,National Institute of Standards and Technology (NIST),TRUE
https://cssi-dcc.nci.nih.gov/cssiportal/,Department of Health and Human Services,National Institutes of Health,TRUE
https://cssi-prod-sg.ha2.cancer.gov/,Department of Health and Human Services,National Cancer Institute,TRUE
https://cssi.cancer.gov/,Department of Health and Human Services,National Cancer Institute,TRUE
https://ctd2-dashboard.nci.nih.gov/dashboard/,Department of Health and Human Services,National Institutes of Health,TRUE
https://ctd2-data.nci.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://ctdb.nichd.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://cte.ed.gov/,Department of Education,Office of Chief Information Officer,TRUE
https://ctep.cancer.gov/,Department of Health and Human Services,National Cancer Institute,TRUE
https://ctip.defense.gov/,Department of Defense,Defense Media Activity,TRUE
https://ctoc.gov/,Department of Defense,MCTFT,FALSE
https://ctp.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://ctpat.cbp.dhs.gov/trade-web/index,Department of Homeland Security,Headquarters,FALSE
https://ctrandomization.cancer.gov/,Department of Health and Human Services,National Cancer Institute,FALSE
https://ctsa.ncats.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://ctsedwweb.ee.doe.gov/,Department of Energy,"US Department of Energy, Office of the CIO",FALSE
https://ctsportal.hud.gov/eCasePortal/CTSCaptcha.aspx?ReturnUrl=%2fecaseportal%2f,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE
https://cttso.gov/,Department of Defense,Combating Terrorism Technical Support Office,FALSE
https://ctuir.nsopw.gov/,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",FALSE
https://ctwg.cap.gov/,Department of Defense,"CIVIL AIR PATROL, USAF AUX.",FALSE
https://cua-smokiespermits.nps.gov/,Department of the Interior,National Park Service,FALSE
https://cuat.nfc.usda.gov/,U.S. Department of Agriculture,USDA,FALSE
https://cubesats.gsfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://cubit.sandia.gov/,Department of Energy,Sandia National Laboratories,TRUE
https://culcon.jusfc.gov/,Japan-US Friendship Commission,Japan-US Friendship Commission,FALSE
https://cuonline.ncua.gov/,National Credit Union Administration,NCUA,FALSE
https://cup.lhcaws-stage.nlm.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://cup.lhcaws.nlm.nih.gov/login,Department of Health and Human Services,National Institutes of Health,TRUE
https://cup.nlm.nih.gov/login,Department of Health and Human Services,National Institutes of Health,TRUE
https://curator.jsc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://cusoregistry.ncua.gov/,National Credit Union Administration,NCUA,FALSE
https://customerconnect.vmware.com/en/downloads/info/slug/desktop_end_user_computing/vmware_horizon_clients/horizon_8#mac,Department of Energy,Sandia National Laboratories,FALSE
https://customerportal.bpa.gov/_layouts/CPCustomLogin/login.aspx?ReturnUrl=%2f_layouts%2fAuthenticate.aspx%3fSource%3d%252F&Source=%2F,Department of Energy,Bonneville Power Administration,FALSE
https://customprints.nga.gov/,National Gallery of Art,The National Gallery of Art,FALSE
https://cvi.dhs.gov/apex/f?p=128:100,Department of Homeland Security,Headquarters,TRUE
https://cvo-valve.wr.usgs.gov/valve3/,Department of the Interior,U.S. Geological Survey,FALSE
https://cvpn.occ.gov/+CSCOE+/logon.html#form_title_text,Department of the Treasury,Comptroller of the Currency,FALSE
https://cwcaribbean.aoml.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://cwcgom.aoml.noaa.gov/cgom/OceanViewer/,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://cwcweb.cwc.gov/$/,Department of Commerce,Bureau of Industries and Security (BIS),FALSE
https://cwlibrary.childwelfare.gov/discovery/search?vid=01CWIG_INST:01CWIG,Department of Health and Human Services,Administration for Children and Families,TRUE
https://cwoutcomes.acf.hhs.gov/cwoutcomes/showLoginForm.do,Department of Health and Human Services,Office of the Secretary,TRUE
https://cwsapps.tsa.dhs.gov/,Department of Homeland Security,Headquarters,FALSE
https://cx.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://cxfmea-cil.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://cxgmip.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://cxhazard.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://cxpraca.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://cxro.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://cyanp.epa.gov/,Environmental Protection Agency,Environmental Protection Agency,TRUE
https://cyber.cap.gov/,Department of Defense,"CIVIL AIR PATROL, USAF AUX.",FALSE
https://cybercemetery.unt.edu/archive/fcic/20110310172443/http://fcic.gov/,National Archives and Records Administration,National Archives and Records Administration,FALSE
https://cybereffects.usajobs.gov/Search/Results?cwr=111&cwr=311&cwr=312&cwr=331&cwr=151&p=1,Office of Personnel Management,OPM Human Resource Solutions,TRUE
https://cyberportal.csp.noaa.gov/remote/login?lang=en,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://cybersecurity.usajobs.gov/Search/Results?cwr=631&cwr=652&cwr=611&cwr=612&cwr=622&cwr=461&cwr=722&cwr=723&cwr=511&cwr=212&cwr=531&cwr=521&cwr=541&s=relevance&sd=asc&p=1,Office of Personnel Management,OPM Human Resource Solutions,TRUE
https://cybershop.lanl.gov/,Department of Energy,Los Alamos National Laboratory,FALSE
https://cybertraining.uspto.gov/content/,Department of Commerce,USPTO,TRUE
https://cyc.pnnl.gov/,Department of Energy,Pacific Northwest National Laboratory,FALSE
https://cyclops.jbcwnn.dhs.gov/+CSCOE+/logon.html#form_title_text,Department of Homeland Security,Headquarters,FALSE
https://cyclotron.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://cyclotronroad.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://cypress.healthit.gov/users/sign_in,Department of Health and Human Services,"Office of the National Coordinator, Office of the Secretary",FALSE
https://cypressdemo.healthit.gov/users/sign_in,Department of Health and Human Services,"Office of the National Coordinator, Office of the Secretary",FALSE
https://cypressvalidator.healthit.gov/users/sign_in,Department of Health and Human Services,"Office of the National Coordinator, Office of the Secretary",FALSE
https://d1.domain1.dcdt31.healthit.gov/,Department of Health and Human Services,"Office of the National Coordinator, Office of the Secretary",FALSE
https://d14.domain1.dcdt31.healthit.gov/,Department of Health and Human Services,"Office of the National Coordinator, Office of the Secretary",FALSE
https://d17.domain9.dcdt31.healthit.gov/,Department of Health and Human Services,"Office of the National Coordinator, Office of the Secretary",FALSE
https://d2d.gsa.gov/,General Services Administration,"GSA, IDI, ECAS II",TRUE
https://d5.domain1.dcdt31.healthit.gov/,Department of Health and Human Services,"Office of the National Coordinator, Office of the Secretary",FALSE
https://d7vc4yl18s7w7.cloudfront.net/login?next=%2F,Department of State,Bureau of Global Public Affairs (GPA),FALSE
https://d9.domain1.dcdt31.healthit.gov/,Department of Health and Human Services,"Office of the National Coordinator, Office of the Secretary",FALSE
https://d9.qa.nixonlibrary.gov/,National Archives and Records Administration,NPOL,TRUE
https://d9.qa.reaganlibrary.gov/,National Archives and Records Administration,Policy and Planning,TRUE
https://daac-news.ornl.gov/,Department of Energy,Oak Ridge National Laboratory,FALSE
https://daac.gsfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://daac.ornl.gov/,Department of Energy,Oak Ridge National Laboratory,TRUE
https://dab.efile.hhs.gov/,Department of Health and Human Services,Office of the Secretary,FALSE
https://dac3.tsa.dhs.gov/Account/Login.aspx,Department of Homeland Security,Headquarters,FALSE
https://dacowits.defense.gov/Home/,Department of Defense,Defense Media Activity,FALSE
https://daedalus1.larc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://daidslearningportal.niaid.nih.gov/,Department of Health and Human Services,National Institutes of Health,FALSE
https://dailyburialschedule.cem.va.gov/CBS#iframe-content,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",TRUE
https://dailymed.nlm.nih.gov/dailymed/,Department of Health and Human Services,National Institutes of Health,TRUE
https://dam.ahrq.gov/,Department of Health and Human Services,Agency for Healthcare Research and Quality,FALSE
https://dam.defense.gov/Home/,Department of Defense,Defense Media Activity,TRUE
https://damis.dot.gov/login/default.aspx,Department of Transportation,United States Department of Transportation,FALSE
https://dance-log-web-f5.lanl.gov/,Department of Energy,Los Alamos National Laboratory,FALSE
https://dante.sandia.gov/,Department of Energy,Sandia National Laboratories,TRUE
https://darkside-docdb.fnal.gov/,Department of Energy,Fermi National Accelerator Laboratory,FALSE
https://darktarget.gsfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://darrp.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
https://dart.loanprograms.energy.gov/content/InformationalMessage.html,Department of Energy,"US Department of Energy, Office of the CIO",FALSE
https://dartool.cr.usgs.gov/Login.php,Department of the Interior,U.S. Geological Survey,FALSE
https://dartslab.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://das.hhs.gov/plexus/control?fromPage=x&toPage=/jsp/applications/visualscorecard/login.jsp&actionName=Cm_GotoPage,Department of Health and Human Services,Office of the Secretary,FALSE
https://dash.nichd.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://dashboard.data.gov/,General Services Administration,"GSA, TTS",TRUE
https://dashboard.ed.gov/,Department of Education,Office of Chief Information Officer,TRUE
https://dashboard.int.identitysandbox.gov/,General Services Administration,"GSA, TTS",FALSE
https://dashboard.ioc.anl.gov/login,Department of Energy,Argonne National Laboratory,FALSE
https://dashboard.lrp.nih.gov/app/#/,Department of Health and Human Services,National Institutes of Health,FALSE
https://dasis2.samhsa.gov/dss/login,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,FALSE
https://dasis3.samhsa.gov/brc/login,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,FALSE
https://dasis9.samhsa.gov/,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,FALSE
https://data-beta.usgs.gov/datacatalog/,Department of the Interior,U.S. Geological Survey,TRUE
https://data-science.usajobs.gov/,Office of Personnel Management,OPM Human Resource Solutions,TRUE
https://data.acl.gov/,Department of Health and Human Services,Administration for Community Living,TRUE
https://data.canary.census.gov/,Department of Commerce,U.S. Census Bureau,TRUE
https://data.cdc.gov/,Department of Health and Human Services,Centers For Disease Control and Prevention,FALSE
https://data.census.gov/,Department of Commerce,U.S. Census Bureau,TRUE
https://data.cms.gov/,Department of Health and Human Services,Centers for Medicare and Medicaid Services,TRUE
https://data.commerce.gov/,Department of Commerce,Depatment of Commerce,TRUE
https://data.defense.gov/,Department of Defense,Defense Media Activity,TRUE
https://data.doe.gov/MS/asp/Main.aspx,Department of Energy,"US Department of Energy, Office of the CIO",FALSE
https://data.doi.gov/dataset,Department of the Interior,Office of the Chief Information Officer,FALSE
https://data.ed.gov/,Department of Education,Office of Chief Information Officer,TRUE
https://data.exim.gov/,Export/Import Bank of the U.S.,Export-Import Bank of the United States,FALSE
https://data.fcc.gov/,Federal Communications Commission,Federal Communications Commission,FALSE
https://data.giss.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://data.globalchange.gov/,United States Global Change Research Program,U.S. Global Change Research Program,FALSE
https://data.gov/,General Services Administration,"GSA, TTS",TRUE
https://data.healthcare.gov/datasets,Department of Health and Human Services,Centers for Medicare and Medicaid Services,TRUE
https://data.hrsa.gov/,Department of Health and Human Services,Health Resources and Services Administration,FALSE
https://data.hud.gov/,Department of Housing and Urban Development,Web Master  Pulic Affair,FALSE
https://data.lhncbc.nlm.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://data.mcc.gov/,Millennium Challenge Corporation,MCC,TRUE
https://data.medicaid.gov/,Department of Health and Human Services,Centers for Medicare and Medicaid Services,FALSE
https://data.nal.usda.gov/,U.S. Department of Agriculture,USDA,TRUE
https://data.nas.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://data.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://data.ngdc.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
https://data.nidb.nih.gov/,Department of Health and Human Services,National Institutes of Health,FALSE
https://data.ninds.nih.gov/,Department of Health and Human Services,National Institutes of Health,FALSE
https://data.nist.gov/sdp/#/,Department of Commerce,National Institute of Standards and Technology (NIST),TRUE
https://data.noaa.gov/datasetsearch/,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
https://data.nssl.noaa.gov/thredds/catalog/catalog.html,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://data.ojp.usdoj.gov/stories/s/6rkd-2wt9,Department of Justice,"U.S. Department of Justice, Office of Justice Prograns (OJP)",FALSE
https://data.permits.performance.gov/,General Services Administration,"GSA,FAS,Technology Transformation Service",FALSE
https://data.pmel.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
https://data.pnnl.gov/,Department of Energy,Pacific Northwest National Laboratory,FALSE
https://data.tbportals.niaid.nih.gov/,Department of Health and Human Services,National Institutes of Health,FALSE
https://data.transportation.gov/,Department of Transportation,U.S. Department of Transportation,FALSE
https://data.usaid.gov/,U.S. Agency for International Development,M/CIO,FALSE
https://data.usastaffing.gov/ibmcognos/bi/,Office of Personnel Management,OPM Human Resource Solutions,FALSE
https://data.usgs.gov/datacatalog/,Department of the Interior,U.S. Geological Survey,TRUE
https://data.va.gov/,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",FALSE
https://data1.gfdl.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://data7.erh.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://datacatalog.ccdi.cancer.gov/,Department of Health and Human Services,National Cancer Institute,TRUE
https://datacenters.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://datacommons.cancer.gov/,Department of Health and Human Services,National Cancer Institute,TRUE
https://datadashboard.fda.gov/ora/index.htm,Department of Health and Human Services,U. S. Food and Drug Administration,TRUE
https://datadashboard.preprod.fda.gov/internal_forms_authentication/?targetId=1db2d7ed-051f-4e93-b16f-905ce16afc6e,Department of Health and Human Services,U. S. Food and Drug Administration,FALSE
https://datadiscovery.nlm.nih.gov/,Department of Health and Human Services,National Institutes of Health,FALSE
https://dataentry.globe.gov/#/intro,National Aeronautics and Space Administration,NASA Science Data Systems Branch,TRUE
https://datagateway.nrcs.usda.gov/,U.S. Department of Agriculture,USDA,FALSE
https://datagateway.sc.egov.usda.gov/,U.S. Department of Agriculture,USDA,FALSE
https://datagrid.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://dataintheclassroom.noaa.gov/,Department of Commerce,National Oceanic and Atmospheric Administration,FALSE
https://datainventory.ed.gov/,Department of Education,Office of Chief Information Officer,TRUE
https://datamapper.geo.census.gov/,Department of Commerce,U.S. Census Bureau,TRUE
https://dataqs.fmcsa.dot.gov/,Department of Transportation,United States Department of Transportation,TRUE
https://datareview.msix.ed.gov/msix/#!/privacy,Department of Education,Office of Chief Information Officer,TRUE
https://datascience.cancer.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://datascience.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,FALSE
https://datascience.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://datasearch.globe.gov/,National Aeronautics and Space Administration,NASA Science Data Systems Branch,TRUE
https://dataservice-stage.datacommons.cancer.gov/#/,Department of Health and Human Services,National Cancer Institute,TRUE
https://dataservice.datacommons.cancer.gov/#/,Department of Health and Human Services,National Cancer Institute,TRUE
https://datashare.nei.nih.gov/dataShareMain.jsp,Department of Health and Human Services,National Institutes of Health,TRUE
https://datashare.nida.nih.gov/,Department of Health and Human Services,National Institutes of Health,FALSE
